modelo,precision,recall,f1,roc_auc,recall_no_paga
Regresion_Logistica,0.9609375,0.719648951730863,0.8229718427655422,0.5849179262148545,0.4117647058823529
XGBoost,0.957252641690682,0.9717211116528522,0.9644326155335108,0.6377998298295426,0.12745098039215685
Random_Forest,0.9530232558139535,0.9990248659190639,0.9754820280885503,0.6500654869456315,0.00980392156862745
